strain	originating_lab	submitting_lab
A/Yokosuka/10/2025	Yokosuka Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Sichuan-Qingyang/8316/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Vladivostok/25/2025	NRCEM Gamaleya	WHO National Influenza Centre Russian Federation
A/Catalonia/NSVH102161296/2023	Hospital Universitari Vall d'Hebron	Crick Worldwide Influenza Centre
A/Canberra/302/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Nevada/32/2023	Southern Nevada Public Health Lab	Centers for Disease Control and Prevention
A/Netherlands/3144/2023	Erasmus Medical Center	Erasmus Medical Center
A/Mayotte/HCL023169697401/2023	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
A/Bhutan/1490/2023	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Paraiba/2023-044623-IEC/2023	LACEN/PB - Laboratório Central de Saúde Pública da Paraíba	Evandro Chagas Institute
A/Victoria/2418/2023	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Ghana/942/2025	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ghana/3370/2024	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ukraine/GIHSN-HCL024071610801/2024	"SI ""Kyiv City CDC MOH"""	CNR Virus des Infections Respiratoires, France SUD
A/Salalah/52425062/2024	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Bangladesh/8022/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Constanta/570052/2024	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/Valparaiso/11568/2024	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Valparaiso/7570/2024	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Colombia/1601/2024	Instituto Nacional de Salud de Columbia	Centers for Disease Control and Prevention
A/Sharjah/1768/2024	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Norway/3895/2024	Health Forde, Department of Microbiology	Norwegian Institute of Public Health
A/Netherlands/2063/2024	Erasmus Medical Center	Erasmus Medical Center
A/Bulgaria/2361/2025	National Centre of Infectious and	Crick Worldwide Influenza Centre
A/Zhejiang-Shangcheng/1895/2024	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Victoria/587/2025	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Turkmenistan/801/2025	Turkmenistan Reference Laboratory	Crick Worldwide Influenza Centre
A/Iceland/33821/2024	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Bulgaria/2334/2025	National Centre of Infectious and	Crick Worldwide Influenza Centre
A/Bulgaria/875/2025	National Influenza Laboratory, Natl. Center of Inf. & Parasitic Dis	National Centre of Infectious and Parasitic Diseases
A/Bulgaria/885/2025	National Influenza Laboratory, Natl. Center of Inf. & Parasitic Dis	National Centre of Infectious and Parasitic Diseases
A/Denmark/1695/2024	Statens Serum Institut	Statens Serum Institute
A/England/234920234/2023	UK Health Security Agency - Colindale	UKHSA / Respiratory Virus Unit
A/Wisconsin/80/2024	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Michigan/82/2024	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Ireland/24704/2024	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Argentina/116/2024	Instituto Nacional de Enfermedades Infecciosas Dr. C.G. Malbrán	Centers for Disease Control and Prevention
A/Arica/52920/2024	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Saopaulo/CEVI_2400065/2023	Instituto Butantan	Instituto Butantan
A/Slovakia/uvzsr-747/2024	Public Health Authority of the Slovak Republic	Univerzita Komenského v Bratislave
A/Albania/299565/2023	Institute of Public Health	Crick Worldwide Influenza Centre
A/Sydney/878/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Lao/F4672/2023	National Center for Laboratory and Epidemiology	National Institute of Infectious Diseases (NIID)
A/Victoria/440/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Virginia/41/2024	Virginia Division of Consolidated Laboratories	Centers for Disease Control and Prevention
A/Bhutan/2209/2024	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Switzerland/ZH-UZH-IMV-3ba6fe14/2024	Institute of Medical Virology, University of Zurich	University of Geneva
A/Guam/5525/2025	Guam Department of Public Health	Centers for Disease Control and Prevention
A/Zhejiang-Haishu/1221/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Montenegro/244677/2023	Institute of Public Health	Crick Worldwide Influenza Centre
A/Papeete/OMS24354/2024	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Papeete/NOMS/2434	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Luxembourg/6428696/2024	Laboratoire National de Sante	Crick Worldwide Influenza Centre
A/Spain/2603/2024	Universidad de Valladolid	Crick Worldwide Influenza Centre
A/Minnesota/111/2024	Minnesota Department of Health	Centers for Disease Control and Prevention
A/Netherlands/1723/2024	Erasmus Medical Center	Erasmus Medical Center
A/Victoria/3243/2023	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
A/SaoPaulo/358537332-IAL/2025	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Victoria/818/2025	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Colombia/3073/2025	Instituto Nacional de Salud de Colombia	Centers for Disease Control and Prevention
A/Valdivia/62477/2025	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/VinaDelMar/4338/2026	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Goias/520695502-IAL/2025	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Netherlands/77/2025	Erasmus Medical Center	Crick Worldwide Influenza Centre
A/Alaska/8/2025	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Temuco/53782/2025	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Tokyo/EIS13-029/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/Valdivia/37488/2025	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Lyon/CHU-025193393502/2025	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/SaoPaulo/358685105-IAL/2025	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Netherlands/10685/2024	Crick Worldwide Influenza Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/SaoPaulo/358562700-IAL/2025	Instituto Adolfo Lutz	Centers for Disease Control and Prevention
A/Utah/52/2025	Utah Department of Health	Centers for Disease Control and Prevention
A/Victoria/869/2025	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/769/2025	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Perth/815/2024	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Singapore/GP20238/2024-egg	Erasmus Medical Center	Erasmus Medical Center
A/Singapore/GP20238/2024	SEQIRUS VACCINES LIMITED, UK	WHO Collaborating Centre for Reference and Research on Influenza
A/Sydney/1359/2024	Childrens Hospital Westmead	WHO Collaborating Centre for Reference and Research on Influenza
A/Bhutan/90/2024	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Bhutan/1699/2024	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Valladolid/1187/2025	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Nepal/S774/2025	National Public Health Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/WesternAustralia/2533516891/2025	SA Pathology	SA Pathology Laboratory
A/Fujian-Yanping/11201/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Bhutan/2232/2025	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Maldives/1256/2025	Ministry of Health	Centers for Disease Control and Prevention
A/Maldives/1472/2025	Ministry of Health	Centers for Disease Control and Prevention
A/Tokyo/EIS13-275/2025	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/Minnesota/101/2025	Minnesota Department of Health	Centers for Disease Control and Prevention
A/Kanagawa/AC2413/2025	Japan Institute for Health Security (JIHS)	Crick Worldwide Influenza Centre
A/Yamagata/111/2025	Yamagata Prefectural Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Sydney/68/2025	Childrens Hospital Westmead	WHO Collaborating Centre for Reference and Research on Influenza
A/WesternAustralia/2526815156/2025	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
A/Wairarapa/1/2025	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Odisha/727/2025	Regional VRDL (Department of Health Research, MoHFW, Government of India)	Indian Council of Medical Research (ICMR)
A/Mississippi/37/2025	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Bhutan/644/2025	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Ulaanbaatar/1898/2025	National Center for Communicable Diseases	Japan Institute for Health Security (JIHS)
A/Ulaanbaatar/2031/2025	National Center for Communicable Diseases	Japan Institute for Health Security (JIHS)
A/Zambia/93/2025	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Bhutan/BUM06/2025	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Slovakia/CUSP-s_41470/2026	Comenius University Science Park	
A/VinaDelMar/23953/2026	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Madrid/HRYC-13992893/2026	Servicio de Microbiologia Hospital Ramon y Cajal	Hospital Universitario Ramon y Cajal
A/Niger/2556/2025	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Wisconsin/138/2025	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Wisconsin/144/2025	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Wisconsin/155/2025	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Lao/2017/2025	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Yokosuka/1/2026	Yokosuka Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Yokosuka/16/2025	Yokosuka Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Austria/1866174/2025	Department of Virology, Medical University Vienna	Medical University Vienna
A/Wisconsin/114/2025	Center for Diseases Control and Prevention	WHO Collaborating Centre for Reference and Research on Influenza
A/France/PDL-RELAB-IPP01749/2026	Institut Pasteur	Institut Pasteur
A/Seoul/1669/2025	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
A/Estonia/KL8378/2025	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/WesternAustralia/2530216228/2025	SA Pathology	SA Pathology Laboratory
A/Tula/RII-MH280858S/2026	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Tokyo/EIS14-659/2026	Japan Institute for Health Security (JIHS)	Japan Institute for Health Security (JIHS)
A/VinaDelMar/13873/2026	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Zamora/306/2025	Valladolid National Influenza Centre	Valladolid National Influenza Centre
A/Darwin/1454/2025-egg	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/SouthDakota/3/2026	South Dakota Public Health Lab	Centers for Disease Control and Prevention
A/Finland/865/2025	Helsingin-Uusimaa Labotariokeskus	Finnish Institute for Health and Welfare, THL
A/WesternAustralia/2602716250/2026	SA Pathology	SA Pathology Laboratory
A/Yokosuka/11/2025	Yokosuka Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Guam/7570/2025	Guam Department of Public Health	Centers for Disease Control and Prevention
A/Croatia/HZJZ-9444/2026	Croatian Institue of Public Health	Croatian Institute of Public Health
NT2202CP00015S	QEII health Sciences Centre	Public Health Agency of Canada (PHAC)
A/Zhetysu/3497/2025	National Center of Expertise in Zhetysu region	National Center For Public Health, Kazakhstan
A/Virginia/USAFSAM-17303/2026	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
A/HongKong/GIHSN-HKU-260331-004/2026	The University of Hong Kong	The University of Hong Kong
A/Darwin/1415/2025	CSL Ltd	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/111/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/136/2026	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/HongKong/GIHSN-HKU-260331-003/2026	The University of Hong Kong	The University of Hong Kong
A/Iceland/25-42194/2025	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/SouthAustralia/2608215959/2026	SA Pathology	SA Pathology Laboratory
A/Vladivostok/A951/2026	G.P. Somov Institute of Epidemiology and Microbiology, laboratory of respiratory viral infections	Somov Institute of Epidemiology and Microbiology
A/Bangladesh/icddrb-3260208003/2026	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)
A/Bangladesh/icddrb-7260108002/2026	Virology Laboratory, International Centre for Diarrhoeal Disease Research, Bangladesh (icddr,b)	International Centre for Diarrhoeal Disease Research (ICDDR,B)
A/Serbia/7428/2025	Institute of Immunology and Virology Torlak	Crick Worldwide Influenza Centre
A/Ukraine/5557/2026	Public Health Center, Ministry of Health Ukraine	Public Health Center, Ministry of Health Ukraine
A/Uppsala/SE26-01387/2026	Klinisk mikrobiologi, Akademiska sjukhuset Uppsala	Public Health Agency of Sweden
A/Romania_SV/606956/2025	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/Mississippi/44/2025	Mississippi Public Health Laboratory	Centers for Disease Control and Prevention
A/Luxembourg/LNS7641185/2025	Laboratoire National de Sante	Laboratoire National de Sante
A/Tunisia/594/2026	National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital	Crick Worldwide Influenza Centre
A/Macedonia/IPH-MKD-281G/2025	Republic of Macedonia, Institute of Public Health	Republic of Macedonia, Institute of Public Health
A/SouthAfrica/NICD-R01687/2026	National Institute for Communicable Diseases (NICD)	National Institute for Communicable Diseases (NICD)
A/Zhetysu/Inf-P-3952/2025	National Center of Expertise in Zhetysu region	National Center For Public Health, Kazakhstan
A/StPetersburg/RII-MH281065S/2026	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Norway/967/2026	Norwegian Institute of Public Health	Norwegian Institute of Public Health
A/Estonia/KL8477/2025	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Montenegro/2227142502/2025	Institute of Public Health	Crick Worldwide Influenza Centre
A/BurkinaFaso/3078/2025	IRSS	Centers for Disease Control and Prevention
A/WesternAustralia/2523716882/2025	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
A/Austria/1852583/2025	Department of Virology, Medical University Vienna	Medical University Vienna
A/Yokosuka/12/2025	Yokosuka Institute of Public Health	Japan Institute for Health Security (JIHS)
A/Yunnan-Zhaoyang/11246/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Thuringen/71/2025	Robert Koch-Institute Nationales Referenzzentrum fur Influenza	Robert Koch Institute Nationales Referenzzentrum fur Influenza
A/Visby/SE26-00488/2026	Mikrobiologen, Visby Lasarett	Public Health Agency of Sweden
A/SouthAfrica/NICD-R01435/2026	National Institute for Communicable Diseases (NICD)	National Institute for Communicable Diseases (NICD)
A/Zavkhan/20253268/2025	National Center for Communicable Diseases	National Center for Communicable Diseases
A/Macedonia/IPH-MKD-283G/2025	Republic of Macedonia, Institute of Public Health	Republic of Macedonia, Institute of Public Health
A/UnitedKingdom/USAFSAM-16386/2025	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
A/Vietnam/PF325402/2025	Bach Mai Hospital	Bach Mai Hospital
A/SouthAfrica/738/2025	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Netherlands/2288/2025	Erasmus Medical Center	Erasmus Medical Center
A/SchleswigHolstein/15/2025	Robert Koch-Institute Nationales Referenzzentrum für Influenza	Robert Koch Institute Nationales Referenzzentrum für Influenza
A/Vietnam/PF325274/2025	Bach Mai Hospital	Bach Mai Hospital
A/Yasothon/B209/2026	Thai National Influenza Center	Thai National Influenza Center
A/Romania/606496/2025	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/Maldives/2504/2025	Ministry of Health	Centers for Disease Control and Prevention
A/Austria/1872185/2025	Department of Virology, Medical University Vienna	Medical University Vienna
A/Galicia/GA-CHUAC-52637630/2026	A Coruna University Hospital Complex (CHUAC)	Hospital Universitario de A Coruna
A/Finland/853/2025	Fimlab Laboratories	Finnish Institute for Health and Welfare, THL
A/Lithuania/MB251104_0399/2025	National Public Health Surveillance Laboratory (NPHSL)	National Public Health Surveillance Laboratory (NPHSL)
A/Ystrad/9667/2026	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/Yasothon/B123/2026	Thai National Influenza Center	Thai National Influenza Center
A/Yasothon/B128/2026	Thai National Influenza Center	Thai National Influenza Center
A/Yasothon/B626/2025	Thai National Influenza Center	Thai National Influenza Center
